"comune","provincia","denominazione","tipologia funzionale","denominazione ente","OBR","Sistema bibliotecario","indirizzo","frazione","cap","latitudine","longitudine","telefono","fax","email","url"
"Roma","Roma","Biblioteca Interdipartimentale di Scienze Giuridiche - Storia del Diritto Italiano Francesco Calasso","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze giuridiche",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649910282","+39 064454638","michele.moretti@uniroma1.it","http://sibiblioteche.caspur.it/scheda_css.php?id=SAP6711"
"Roma","Roma","Biblioteca del Dipartimento di scienze dell'Antichità. Sezione di Archeologia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze dell'antichità. Sezione di Archeologia",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 06499130331","+39 064453270",,"http://www.antichita.uniroma1.it/biblioteca/le-sezioni/archeologia-ex-sezioni-di"
"Roma","Roma","Biblioteca Angelo Monteverdi dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Centro interdipartimentale di servizi per gli studi filologici, linguistici e letterari",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649913370","+39 0649913964",,
"Roma","Roma","Biblioteca di filosofia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Centro interdipartimentale di servizi per la biblioteca di filosofia",,,"Via C. Fea 2",,"00161","41.9194718","12.5177184","+39 0649917212","+39 0649917309","gaetano.colli@uniroma1.it","http://w3.uniroma1.it/filosofia/index.html"
"Roma","Roma","Biblioteca del Dipartimento di geografia umana dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di geografia umana",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649913589","+39 0649913874","palagian@rmcisadu.let.uniroma1.it","http://biblioteche.caspur.it/cgi-bin/BIBLIO_scheda.pl?id_biblioteca=RMS1K11"
"Roma","Roma","Biblioteca del Dipartimento di studi glottoantropologici e discipline musicali. Sezione di glottologia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di studi glottoantropologici e discipline musicali",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649913430","+39 064450114",,
"Roma","Roma","Biblioteca del Dipartimento di Storia, Culture, Religioni dell'Università degli studi di Roma La Sapienza - Punto di servizio di Storia Medievale e Paleografia","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di studi sulle società e le culture del medioevo",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649913421","+39 06491352",,
"Roma","Roma","Biblioteca del Dipartimento di studi orientali dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di studi orientali",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649913424","+39 064451209","mirella.piperno@uniroma1.it","http://biblioteche.caspur.it/cgi-bin/BIBLIO_scheda.pl?id_biblioteca=RMS1L11"
"Roma","Roma","Biblioteca Giulio Carlo Argan del Dipartimento di storia dell'arte e dello Spettacolo - Sezione Arte. Sapienza Università di Roma","Istituto di insegnamento superiore","Sapienza Università di Roma. Dipartimento di storia dell'arte e dello spettacolo",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649913591","+39 064451709","giovanni.maturilli@uniroma1.it","http://w3.uniroma1.it/dsa"
"Roma","Roma"," Biblioteca del Dipartimento di Storia, Culture, Religioni dell'Università degli studi di Roma La Sapienza - Punto di servizio di Storia moderna e contemporanea","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di storia moderna e contemporanea",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649913566","+39 064450740",,
"Roma","Roma","Biblioteca di Storia della Musica Dipartimento di Studi Greco-Latini, Italiani, Scenico-Musicali dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di studigreco-latini, italiani, scenico musicali",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649693256",,"cosil@cisadu2.let.uniroma1.it","http://sibiblioteche.caspur.it"
"Roma","Roma","Biblioteca Giovanni Macchia del Dipartimento di Storia dell'Arte e Spettacolo - Sezione spettacolo. Sapienza Università di Roma","Istituto di insegnamento superiore","Sapienza Università di Roma - Dipartimento di Storia dell'Arte e Spettacolo",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975",,,,"http://www.dass.uniroma1.it/strutture/home_mediateca.aspx"
"Roma","Roma","Biblioteca del Dipartimento di Storia, Culture, Religioni dell'Università degli studi di Roma La Sapienza - Punto di servizio di Antropologia  ","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di studi glottoantropologici e discipline musicali",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649913757","+39 064450114",,
"Roma","Roma","Biblioteca dell'Istituto di studi albanesi della Facoltà di lettere e filosofia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di lettere e filosofia. Istituto di studi albanesi",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649913590",,,
"Roma","Roma","Biblioteca del Dipartimento di Scienze dell'Antichità. Sezione di Filologia classica e bizantina dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di Scienze dell'Antichità",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649913977",,"walter.mazzotta@uniroma1.it","http://w3.uniroma1.it/archeologia/Biblioteca/Sezioni/filgre.htm"
"Roma","Roma"," Biblioteca del Dipartimento di Storia, Culture, Religioni dell'Università degli studi di Roma La Sapienza - Punto di servizio di Studi storico religiosi","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di studi storico religiosi",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649913903","+39 064453753",,
"Roma","Roma","Biblioteca di Scienze sociali ed economiche delll'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di teoria economica e metodi quantitativi per le scelte politiche",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649910220","+39 0649690326",,
"Roma","Roma","Biblioteca di Scienze politiche dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze politiche",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649910532","+39 0649910446","bibliotecadsp@uniroma1.it",
"Roma","Roma","Biblioteca del Dipartimento di scienze demografiche dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze demografiche",,,"Via Nomentana 41",,"00161","41.909944","12.501868","+39 0685303374","+39 0685303374","biblio@dsd.sta.uniroma1.it",
"Roma","Roma","Biblioteca dell'Istituto di diritto delle assicurazioni della Facoltà di scienze statistiche, demografiche e attuariali dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di scienze statistiche, demografiche e attuariali. Istituto di diritto delle assicurazioni",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649910845","+39 064453960",,
"Roma","Roma","Biblioteca del Dipartimento di scienze economiche dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze economiche",,,"Via Cesalpino 41",,"00161","41.9097679","12.508556","+39 0644284209","+39 064404572","biblecon@caspur.it","http://dipartimento.dse.uniroma1.it"
"Roma","Roma","Biblioteca del Dipartimento di scienze attuariali e finanziarie dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze attuariali e finanziarie",,,"Via Nomentana 41",,"00161","41.909944","12.501868","+39 0649919556","+39 0644250289","dtp105@axcasp.caspur.it",
"Roma","Roma","Biblioteca del Dipartimento di scienza e tecnica dell'informazione e della comunicazione dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienza e tecnica dell'informazione e della comunicazione",,,"Via Eudossiana 18",,"00184","41.89312","12.4928853","+39 0644585467","+39 064873300",,
"Roma","Roma","Biblioteca del Dipartimento di scienze dell'antichità. Sezione di Storia e topografia antica dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze storiche archeologiche e antropologiche dell'antichità",,,"Piazzale A. Moro 5",,"00185","41.9017582","12.5120975","+39 0649913870","+39 0649913870",,"http://www.antichita.uniroma1.it/biblioteca/le-sezioni/storia-e-topografia-antica-ex-sezioni-di"
"Roma","Roma","Biblioteca di lingue e letterature straniere moderne dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza",,,"Via C. Fea 2",,"00161","41.9194718","12.5177184","+39 0649917248","+39 0649917248","bibliolingue@uniroma1.it","http://biblioteche.caspur.it/cgi-bin/BIBLIO_scheda.pl?id_biblioteca=RMS4L11"
"Roma","Roma","Biblioteca della Scuola speciale per archivisti e bibliotecari dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Scuola speciale per archivisti e bibliotecari",,,"Viale Regina Elena 295",,"00161","41.9051294","12.5164714",,,"libraryssab@uniroma1.it","http://sibiblioteche.caspur.it/scheda_css.php?id=SAPAB11&hist=off"
"Roma","Roma","Biblioteca dei Dipartimenti di medicina interna e scienze dell'invecchiamento dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza",,,"Viale del Policlinico 155",,"00161","41.9081576","12.5087556","+39 064463301","+39 064940594",,
"Roma","Roma","Biblioteca dell'Istituto di microbiologia della Facoltà di farmacia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di farmacia. Istituto di microbiologia",,,"Viale Regina Margherita 255",,"00185","41.9114316","12.5086475","+39 064402628","+39 064404130",,
"Roma","Roma","Biblioteca dell'Istituto di chirurgia del cuore e dei grossi vasi della Facoltà di medicina e chirurgia dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Facoltà di medicina e chirurgia. Istituto di chirurgia del cuore e dei grossi vasi",,,"Viale del Policlinico 155",,"00161","41.9081576","12.5087556","+39 064463014",,,
"Roma","Roma","Biblioteca del Dipartimento di scienze anestesiologiche, medicina critica e terapia del dolore dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di scienze anestesiologiche, medicina critica e terapia del dolore",,,"Viale del Policlinico 155",,"00161","41.9081576","12.5087556","+39 064463101","+39 064461967",,
"Roma","Roma","Biblioteca di area di scienze della formazione Angelo Broccoli dell'Università degli studi Roma Tre","Istituto di insegnamento superiore","Università degli studi di Roma Tre. Dipartimento di scienze dell'educazione",,,"Via Milazzo 11 B",,"00185","41.9014405","12.5052491","+39 0657339372-9226-9295","+39 0657339336","biblioteca.scienze.formazione@uniroma3.it","http://host.uniroma3.it/biblioteche/bsf.php"
"Roma","Roma","Biblioteca di Comunicazione e Ricerca Sociale dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di Comunicazione e Ricerca Sociale",,,"Via Salaria 113",,"00198","41.9143672","12.4973084","+39 0649918346","+39 0649918405",,
"Roma","Roma","Biblioteca di area delle arti. Sezione Storia dell'arte Luigi Grassi dell'Università degli studi Roma Tre","Istituto di insegnamento superiore","Università degli studi di Roma Tre. Dipartimento di studi storico artistici, archeologici e sulla conservazione",,,"Piazza della Repubblica 10",,"00185","41.9027527","12.4965147","+39 0657332980/982/983","+39 0657333079","biblioteca.storia.arte@uniroma3.it","http://host.uniroma3.it/biblioteche/baa.php"
"Roma","Roma","Biblioteca del Dipartimento di Architettura e Costruzione Enrico Guidoni dell' Università La Sapienza di Roma","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di architettura e analisi della città",,,"Via A. Gramsci 53",,"00197","41.9183832","12.4805283","+39 0649919276","+39 0649919272","mariacecilia.mosconi@uniroma1.it","http://sibiblioteche.caspur.it/scheda_css.php?id=SAPAA11&hist=off"
"Roma","Roma","Biblioteca del Dipartimento di caratteri dell'architettura, valutazione e ambiente dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di caratteri dell'architettura, valutazione e ambiente",,,"Piazza Borghese 9",,"00186","41.9040435","12.475901","+39 0649918867","+39 0649918873",,
"Roma","Roma","Biblioteca del Dipartimento Storia Disegno e Restauro - Sezione rilievo. Sapienza Università di Roma","Istituto di insegnamento superiore","Sapienza Università di Roma. Biblioteca del Dipartimento Storia Disegno e Restauro",,,"Piazza Borghese 9",,"00186","41.9040435","12.475901","+39 0649918848","+39 0649918884",,"http://www.uniroma.it/rr/index.html"
